INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|282|74|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|287|84|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|300|58|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|341|74|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|343|75|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|345|95|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|375|41|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|381|59|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|417|49|2|Unnecessary use of multiple underscores.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|417|53|3|Unnecessary use of multiple underscores.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|428|61|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|442|72|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|449|57|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|476|55|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|526|52|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|567|53|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|599|97|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|613|51|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|628|73|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|666|59|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|675|63|2|Unnecessary use of multiple underscores.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|675|67|3|Unnecessary use of multiple underscores.
INFO|LINT|UNNECESSARY_TO_LIST_IN_SPREADS|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|682|28|6|Unnecessary use of 'toList' in a spread.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|696|27|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|710|52|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|728|69|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|767|37|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|769|56|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|786|57|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|799|93|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|805|86|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|826|49|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|41|92|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|42|92|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|43|95|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|67|47|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|69|66|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|77|53|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|99|83|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|106|49|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\history_screen.dart|114|49|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|73|92|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|74|92|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|75|95|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|99|47|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|101|66|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|109|53|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|138|47|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|140|66|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|149|48|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|162|82|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|182|63|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|204|92|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|219|29|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|221|48|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\profil_screen.dart|227|60|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
